Read me,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
The OECD indicators on Employment Protection Legislation,,,,,,,,,,,,,,,,,,,,,,,
"Scale from 0 (least restrictions) to 6 (most restrictions), last year available",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Protection of permanent workers against individual and collective dismissals,Protection of permanent workers against (individual) dismissal,Specific requirements for collective dismissal,Regulation on temporary forms of employment,,,,,,,,,,,,,,,,,,
Portugal,2013,2.69,3.01,1.88,2.33,,,,,,,,,,,,,,,,,,
Slovak Republic,2013,2.26,1.81,3.38,2.42,,,,,,,,,,,,,,,,,,
Slovenia,2014,2.39,1.99,3.38,2.13,,,,,,,,,,,,,,,,,,
Spain,2013,2.36,1.95,3.38,3.17,,,,,,,,,,,,,,,,,,
Sweden,2013,2.52,2.52,2.50,1.17,,,,,,,,,,,,,,,,,,
Switzerland,2013,2.10,1.50,3.63,1.38,,,,,,,,,,,,,,,,,,
Turkey,2013,2.33,2.21,2.63,4.96,,,,,,,,,,,,,,,,,,
United Kingdom,2014,1.59,1.18,2.63,0.54,,,,,,,,,,,,,,,,,,
United States,2013,1.17,0.49,2.88,0.33,,,,,,,,,,,,,,,,,,
Non-OECD LAC countries*,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2014,2.62,2.12,3.88,3.04,,,,,,,,,,,,,,,,,,
Bahamas,2014,1.50,2.10,0.00,0.17,,,,,,,,,,,,,,,,,,
Barbados,2014,1.72,1.41,2.50,0.17,,,,,,,,,,,,,,,,,,
Bolivia,2014,1.94,2.71,0.00,3.29,,,,,,,,,,,,,,,,,,
Brazil,2012,1.75,1.84,1.50,4.08,,,,,,,,,,,,,,,,,,
Colombia,2014,2.34,1.67,4.00,2.25,,,,,,,,,,,,,,,,,,
Costa Rica,2014,1.20,1.68,0.00,2.96,,,,,,,,,,,,,,,,,,
Ecuador,2014,1.78,2.10,1.00,3.96,,,,,,,,,,,,,,,,,,
El Salvador,2014,1.21,1.70,0.00,2.25,,,,,,,,,,,,,,,,,,
Guatemala,2014,1.02,1.42,0.00,2.25,,,,,,,,,,,,,,,,,,
Honduras,2014,2.44,2.07,3.38,2.38,,,,,,,,,,,,,,,,,,
Jamaica,2014,1.55,1.63,1.38,0.42,,,,,,,,,,,,,,,,,,
Nicaragua,2014,1.48,1.37,1.75,1.04,,,,,,,,,,,,,,,,,,
Panama,2014,1.73,2.43,0.00,4.29,,,,,,,,,,,,,,,,,,
Paraguay,2014,1.75,1.90,1.38,1.67,,,,,,,,,,,,,,,,,,
Peru,2014,2.21,1.60,3.75,2.88,,,,,,,,,,,,,,,,,,
Dominican Republic,2014,1.40,1.96,0.00,2.13,,,,,,,,,,,,,,,,,,
Uruguay,2014,1.99,1.93,2.13,4.54,,,,,,,,,,,,,,,,,,
Venezuela,2014,3.50,3.50,3.50,5.21,,,,,,,,,,,,,,,,,,
Other non-OECD countries and territories,,,,,,,,,,,,,,,,,,,,,,,
Albania,2015,2.49,2.24,3.13,..,,,,,,,,,,,,,,,,,,
Bosnia-Herzegovina,2015,2.58,2.59,2.56,..,,,,,,,,,,,,,,,,,,
China,2012,3.01,3.31,2.25,1.88,,,,,,,,,,,,,,,,,,
Croatia,2015,2.30,2.32,2.25,2.88,,,,,,,,,,,,,,,,,,
Former Yugoslav Republic of Macedonia,2015,2.29,1.91,3.25,3.50,,,,,,,,,,,,,,,,,,
India,2012,2.61,3.49,0.44,2.54,,,,,,,,,,,,,,,,,,
Indonesia,2012,2.95,4.13,0.00,2.96,,,,,,,,,,,,,,,,,,
Kazakhstan,2015,2.29,3.20,0.00,..,,,,,,,,,,,,,,,,,,
Kosovo,2014,2.08,1.67,3.13,..,,,,,,,,,,,,,,,,,,
Latvia,2013,2.91,2.57,3.75,1.79,,,,,,,,,,,,,,,,,,
Lithuania,2015,2.42,2.23,2.88,3.33,,,,,,,,,,,,,,,,,,
Malaysia,2013,1.93,2.71,0.00,0.29,,,,,,,,,,,,,,,,,,
Montenegro,2013,2.88,2.58,3.63,2.08,,,,,,,,,,,,,,,,,,
Russian Federation,2012,2.47,2.86,1.50,1.25,,,,,,,,,,,,,,,,,,
Saudi Arabia,2012,1.15,1.61,0.00,3.46,,,,,,,,,,,,,,,,,,
Serbia,2015,2.23,1.67,3.63,..,,,,,,,,,,,,,,,,,,
South Africa,2012,2.01,2.06,1.88,0.58,,,,,,,,,,,,,,,,,,
Thailand,2014,2.17,3.03,0.00,3.67,,,,,,,,,,,,,,,,,,
Tunisia,2013,1.95,2.73,0.00,0.54,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
* Indicators for these countries have been constructed within a cooperation project between with the Organisation for Economic Cooperation and Development (OECD) and the Inter-American Development Bank (IDB) and are drawn from the OECD-IDB database on summary indicators of Employment Protection Legislation (EPL) in Latin American ad the Caribbean. Indicators for other countries are under full responsibility of the OECD Secretariat.,,,,,,,,,,,,,,,,,,,,,,,
"Source: OECD/IAB Employment Protection Database, 2013 update. For more information and full methodology (including weights), see: ",,,,,,,,,,,,,,,,,,,,,,,
www.oecd.org/employment/protection,,and http://data.iadb.org/,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
