Name, Revenues($M), Profits($M), Assets($M), Market Value($M), Employees
Sysco,"$58,727.3","$1,430.8","$18,070.4","$34,278.8","67,000"
HP,"$58,472.0","$5,327.0","$34,622.0","$29,795.9","55,000"
Humana,"$56,912.0","$1,683.0","$25,413.0","$36,079.6","41,600"
Facebook,"$55,838.0","$22,112.0","$97,334.0","$475,731.6","35,587"
Caterpillar,"$54,722.0","$6,147.0","$78,509.0","$77,980.3","104,000"
Energy Transfer,"$54,436.0","$1,694.0","$88,246.0","$40,260.0","11,768"
Lockheed Martin,"$53,762.0","$5,046.0","$44,876.0","$84,887.6","105,000"
Pfizer,"$53,647.0","$11,153.0","$159,422.0","$235,785.1","92,400"
Goldman Sachs Group,"$52,528.0","$10,459.0","$931,796.0","$70,414.9","36,600"
Morgan Stanley,"$50,193.0","$8,748.0","$853,531.0","$72,110.8","60,348"
Cisco Systems,"$49,330.0","$110.0","$108,784.0","$237,665.5","74,200"
Cigna,"$48,650.0","$2,637.0","$153,226.0","$61,058.9","73,800"
AIG,"$47,389.0","$-6.0","$491,984.0","$37,440.1","49,600"
HCA Healthcare,"$46,677.0","$3,787.0","$39,207.0","$44,787.0","229,000"
American Airlines Group,"$44,541.0","$1,412.0","$60,580.0","$14,262.0","128,900"
Delta Air Lines,"$44,438.0","$3,935.0","$60,266.0","$35,067.8","88,680"
Charter Communications,"$43,634.0","$1,230.0","$146,130.0","$85,923.4","98,000"
New York Life Insurance,"$43,425.3","$880.0","$311,449.3","-","11,388"
American Express,"$43,281.0","$6,921.0","$188,602.0","$91,675.1","59,000"
Nationwide,"$43,270.0","$512.6","$214,141.9","-","30,472"
Best Buy,"$42,879.0","$1,464.0","$12,901.0","$19,030.2","125,000"
Liberty Mutual Insurance Group,"$42,685.0","$2,160.0","$125,989.0","-","50,000"
Merck,"$42,294.0","$6,220.0","$82,637.0","$214,680.1","69,000"
Honeywell International,"$41,802.0","$6,765.0","$57,773.0","$115,752.5","114,000"
United Continental Holdings,"$41,303.0","$2,129.0","$44,792.0","$21,279.5","92,000"
TIAA,"$41,052.1","$1,560.5","$568,190.2","-","17,643"
Tyson Foods,"$40,052.0","$3,024.0","$29,109.0","$25,360.5","121,000"
Oracle,"$39,831.0","$3,825.0","$137,264.0","$183,562.2","137,000"
Allstate,"$39,815.0","$2,252.0","$112,249.0","$31,264.3","45,420"
World Fuel Services,"$39,750.3","$127.7","$5,676.9","$1,940.6","5,000"
Massachusetts Mutual Life Insurance,"$39,267.2","$397.9","$265,812.6","-","9,844"
TJX,"$38,972.9","$3,059.8","$14,326.0","$65,615.7","270,000"
ConocoPhillips,"$38,727.0","$6,257.0","$69,980.0","$75,710.1","10,800"
Deere,"$37,357.7","$2,368.4","$70,108.0","$50,908.0","74,413"
Tech Data,"$37,239.0","$340.6","$12,986.6","$3,779.0","14,000"
Enterprise Products Partners,"$36,534.2","$4,172.4","$56,969.8","$63,579.8","7,000"
Nike,"$36,397.0","$1,933.0","$22,536.0","$132,529.5","73,100"
Publix Super Markets,"$36,395.7","$2,381.2","$18,982.5","-","202,000"
General Dynamics,"$36,193.0","$3,345.0","$45,408.0","$48,883.0","105,600"
Exelon,"$35,985.0","$2,010.0","$119,666.0","$48,623.7","33,383"
Plains GP Holdings,"$34,055.0","$334.0","$26,830.0","$3,974.4","4,900"
3M,"$32,765.0","$5,349.0","$36,500.0","$119,659.8","93,516"
AbbVie,"$32,753.0","$5,687.0","$59,352.0","$119,125.3","30,000"
CHS,"$32,683.3","$775.9","$16,381.2","-","10,495"
Capital One Financial,"$32,377.0","$6,015.0","$372,538.0","$38,340.7","47,600"
Progressive,"$31,979.0","$2,615.3","$46,575.0","$42,099.5","37,346"
Coca-Cola,"$31,856.0","$6,434.0","$83,216.0","$200,334.1","62,600"
